"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Docker", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/pages/_app.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 21, 15, 66
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/pages/_document.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 39, 33, 126
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/pages/_error.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 39, 33, 126
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/pages/banana.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 21, 15, 66
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/pages/index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 21, 15, 66
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/server/webpack-runtime.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 34, 0, 168
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/amp.js", "JavaScript", 336, 0, 0, 0, 0, 0, 0, 207, 199, 742
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/main.js", "JavaScript", 494, 0, 0, 0, 0, 0, 0, 306, 298, 1098
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/pages/_app.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/pages/_error.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/pages/banana.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 20, 13, 61
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/pages/index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 20, 13, 61
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/polyfills.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/react-refresh.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 21, 13, 62
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/chunks/webpack.js", "JavaScript", 1120, 0, 0, 0, 0, 0, 0, 112, 0, 1232
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/development/_buildManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/development/_ssgManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/webpack/9b07e6189d994328.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/webpack/c5c07a46d1d0833c.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/webpack/webpack.9b07e6189d994328.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 9, 0, 18
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/.next/static/webpack/webpack.c5c07a46d1d0833c.hot-update.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 13, 0, 43
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/api/build-client.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 2, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/component/header.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/hooks/use-request.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/next.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 9, 1, 16
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/package-lock.json", "JSON", 0, 547, 0, 0, 0, 0, 0, 0, 1, 548
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/_app.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 8, 8, 46
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/auth/signin.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 4, 6, 55
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/auth/signout.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/auth/signup.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 4, 6, 55
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/index.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 47, 17, 102
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/orders/[orderId].js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/orders/index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/tickets/[ticketId].js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/tianbo/Desktop/newInterview/interview/ticketing/client/pages/tickets/new.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/package-lock.json", "JSON", 0, 2131, 0, 0, 0, 0, 0, 0, 1, 2132
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/package.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 22, 0, 33
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/bad-request-error.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/custom-errors.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/database-connection-error.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/not-authorized-error.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/not-found-error.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/errors/request-validation-error.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 1, 5, 20
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/base-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 1, 8, 53
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/base-publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 1, 4, 29
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/expiration-complete-event.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/order-cancelled-event.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/order-created-event.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/payment-created-event.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/subjects.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/ticket-created-event.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/ticket-updated-event.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/events/types/order-status.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 8, 3, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/middlewares/current-user.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 3, 5, 35
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/middlewares/error-handler.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/middlewares/require-auth.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/src/middlewares/validate-request.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"/Users/tianbo/Desktop/newInterview/interview/ticketing/common/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 12, 89, 9, 110
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/.dockerignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/package-lock.json", "JSON", 0, 5123, 0, 0, 0, 0, 0, 0, 1, 5124
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/__mocks__/nats-wrapper.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/events/listeners/order-created-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/events/listeners/queue-group-name.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/events/publishers/expiration-complete-publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 11, 42
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/nats-wrapper.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/src/queues/expiration-queue.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/tianbo/Desktop/newInterview/interview/ticketing/expiration/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 10, 53, 8, 71
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s-dev/ingress-srv.yaml", "YAML", 0, 0, 0, 47, 0, 0, 0, 2, 4, 53
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s-prod/ingress-srv.yaml", "YAML", 0, 0, 0, 79, 0, 0, 0, 3, 5, 87
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/auth-depl.yaml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/auth-mongo-depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/client.depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 4, 2, 36
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/expiration-depl.yaml", "YAML", 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/expiration-redis-depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/nats-depl.yaml", "YAML", 0, 0, 0, 50, 0, 0, 0, 5, 1, 56
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/orders-depl.yaml", "YAML", 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/orders-mongo-depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/payments-depl.yaml", "YAML", 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/payments-mongo-depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/tickets-depl.yaml", "YAML", 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"/Users/tianbo/Desktop/newInterview/interview/ticketing/infra/k8s/tickets-mongo-depl.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/package-lock.json", "JSON", 0, 712, 0, 0, 0, 0, 0, 0, 1, 713
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/base-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 1, 8, 53
